식품명,대표식품명,식품중분류명,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),나트륨(mg),비타민 A(μg RAE),비타민 D(μg),비타민 C(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g)
피자_가든스페셜 피자 (R),피자,해당없음,214,,8.39,,,3.5,,,,469.0,,,,,2.8,
피자_갈릭 버터 쉬림프 피자 리치골드 (L),피자,해당없음,244,,11.34,,,4.65,,,,431.0,,,,,5.21,
피자_갈릭 버터 쉬림프 피자 리치골드 (M),피자,해당없음,274,,12.72,,,5.83,,,,489.0,,,,,6.02,
피자_갈릭 버터 쉬림프 피자 치즈크러스트 (L),피자,해당없음,241,,11.83,,,3.21,,,,450.0,,,,,4.43,
피자_갈릭 버터 쉬림프 피자 치즈크러스트 (M),피자,해당없음,242,,12.21,,,3.27,,,,464.0,,,,,4.81,
피자_갈릭베이컨체다치즈 피자 (L),피자,해당없음,188,,12.41,,,1.08,,,,506.0,,,,,4.58,
피자_갈릭베이컨포테이토 피자 (L),피자,해당없음,245,,9.8,,,4.06,,,,367.0,,,,,3.39,
피자_갈릭비프스테이크 피자 (L),피자,해당없음,208,,11.05,,,5.43,,,,466.0,,,,,2.24,
피자_갈릭비프스테이크 피자 (M),피자,해당없음,197,,11.13,,,4.95,,,,447.0,,,,,2.31,
피자_갈릭쉬림프 피자 (L),피자,해당없음,88,,4.25,,,1.86,,,,148.0,,,,,2.12,
피자_갈릭쉬림프 피자 오리지널 (M),피자,해당없음,262,,11.76,11.96,26.22,3.92,,,,407.0,,,,38.19,2.94,0.16
피자_갈릭스테이크쉬림프 피자 (L),피자,해당없음,147,,8.0,,,2.67,,,,252.0,,,,,2.34,
피자_갈릭스테이크 피자 (L),피자,해당없음,276,,15.0,,,4.0,,,,397.0,,,,,4.0,
피자_갈릭스테이크 피자 오리지널 (M),피자,해당없음,258,,10.68,9.95,30.12,4.85,,,,358.0,,,,11.36,2.91,0.18
피자_갈릭페퍼스테이크 피자 (F),피자,해당없음,267,,12.4,,,5.43,,,,648.0,,,,,3.88,
피자_갈릭페퍼스테이크 피자 (L),피자,해당없음,267,,11.98,,,5.21,,,,647.0,,,,,4.17,
피자_갈릭페퍼스테이크 피자 (P),피자,해당없음,265,,12.12,,,5.3,,,,644.0,,,,,3.79,
피자_갈릭홀릭 피자 (L),피자,해당없음,286,,15.13,,,4.79,,,,451.0,,,,,6.3,
피자_갈릭홀릭 피자 (R),피자,해당없음,285,,15.18,,,4.82,,,,451.0,,,,,6.25,
피자_갈비앤치킨 피자 씬 (L),피자,해당없음,207,,10.0,,,6.67,,,,545.0,,,,,2.75,
피자_갈비앤치킨 피자 씬 (R),피자,해당없음,206,,9.57,,,6.38,,,,547.0,,,,,2.66,
피자_감자베이컨 피자 (L),피자,해당없음,285,,6.31,,,3.3,,,,349.0,,,,,0.97,
피자_감자별한웅큼피자 (L),피자,해당없음,248,,11.28,,,3.24,,,,332.0,,,,,4.65,
피자_감자 피자,피자,해당없음,264,,12.03,,,4.22,,,,426.0,,,,,3.45,
피자_강냉이털어 피자 (L),피자,해당없음,268,,14.0,,,5.0,,,,274.0,,,,,5.0,
피자_걱정말아요허니 피자 (L),피자,해당없음,272,,12.91,,,4.03,,,,458.0,,,,,4.26,
피자_고객의실수 피자 (L),피자,해당없음,259,,14.29,,,2.18,,,,303.0,,,,,5.94,
피자_고객의실수 피자 (R),피자,해당없음,260,,14.39,,,2.16,,,,304.0,,,,,5.97,
피자_고구마랍스터볼크림 피자 (L),피자,해당없음,266,,14.0,,,4.0,,,,413.0,,,,,6.0,
피자_고구마무스 베이컨 피자 (L),피자,해당없음,231,,11.0,,,12.16,,,,388.0,,,,,3.16,
피자_고구마무스 피자 (L),피자,해당없음,222,,10.58,,,15.73,,,,347.0,,,,,2.53,
피자_고구마무스 피자 (L),피자,해당없음,216,,9.07,,,9.26,,,,374.0,,,,,2.3,
피자_고구마무스 피자 (M),피자,해당없음,212,,9.45,,,10.03,,,,338.0,,,,,2.32,
피자_고구마 베이컨 피자 (L),피자,해당없음,248,,11.98,,,9.42,,,,407.0,,,,,4.22,
피자_고구마베이컨 피자 (L),피자,해당없음,238,,6.65,,,5.29,,,,310.0,,,,,3.53,
피자_고구마스위트 피자 (L),피자,해당없음,277,,9.33,,,8.67,,,,306.0,,,,,4.0,
피자_고구마파인애플 피자 (L),피자,해당없음,250,,12.43,,,8.25,,,,340.0,,,,,3.88,
피자_고구마 피자 (L),피자,해당없음,252,,11.74,,,10.35,,,,373.0,,,,,4.13,
