식품명,대표식품명,식품중분류명,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),나트륨(mg),비타민 A(μg RAE),비타민 D(μg),비타민 C(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g)
쫄면,쫄면,해당없음,129,70.0,3.21,2.52,23.26,3.51,1.6,23.0,0.34,250.0,68.0,0.0,2.03,0.0,0.22,0.0
칼국수,칼국수,해당없음,77,80.5,3.3,0.49,14.9,0.0,1.6,7.0,0.36,220.0,5.0,0.0,0.0,17.14,0.2,0.0
칼국수_바지락,칼국수,바지락,82,79.2,3.43,0.53,15.97,0.18,0.3,13.0,0.61,272.0,1.0,0.0,1.92,0.33,0.11,0.0
콩국수,콩국수,해당없음,81,83.3,3.9,3.35,8.92,0.24,1.9,22.0,0.6,67.0,1.0,0.0,1.36,0.0,0.17,0.0
닭죽,닭죽,해당없음,44,89.2,2.68,0.57,7.14,0.0,0.1,4.0,0.11,117.0,1.0,0.0,0.0,7.45,0.33,0.01
스프_양송이버섯,스프,양송이버섯,105,81.6,2.41,7.04,8.06,2.52,1.6,41.0,0.14,170.0,77.0,0.0,0.0,17.01,3.93,0.1
오리죽,오리죽,해당없음,155,67.1,7.5,4.99,19.95,0.0,1.7,11.0,0.8,62.0,13.0,0.0,0.11,36.07,1.16,0.02
전복죽,전복죽,해당없음,79,84.4,1.82,3.73,9.62,0.0,1.6,2.0,0.13,158.0,0.0,0.0,4.21,8.62,0.19,0.0
채소죽,채소죽,해당없음,43,89.1,1.69,0.69,7.62,0.17,1.5,9.0,0.2,224.0,4.0,0.0,0.59,0.0,0.18,0.0
팥죽,팥죽,해당없음,81,79.3,3.17,0.19,16.66,0.02,2.1,10.0,1.13,127.0,0.0,0.0,5.36,0.0,0.07,0.0
호박죽,호박죽,해당없음,49,89.0,1.93,1.71,6.58,3.56,2.6,11.0,0.26,42.0,38.0,0.0,1.59,0.0,0.04,0.0
흑임자 죽,흑임자 죽,해당없음,61,89.9,1.1,4.73,3.64,0.75,0.7,35.0,0.36,159.0,0.0,0.0,0.0,0.0,0.28,0.09
갈비탕,갈비탕,해당없음,54,88.2,8.51,2.06,0.4,0.11,1.9,14.0,1.06,199.0,2.0,0.0,0.0,31.46,0.79,0.06
감자국,감자국,해당없음,21,94.4,0.9,0.26,3.67,0.85,0.7,5.0,0.12,215.0,0.0,0.0,0.63,0.0,0.03,0.0
곰탕,곰탕,해당없음,24,94.9,3.43,1.12,0.11,0.0,1.1,7.0,0.45,124.0,1.0,0.0,2.75,9.04,0.41,0.05
곰탕_우거지,곰탕,우거지,25,93.6,2.37,0.6,2.6,0.33,1.1,17.0,0.38,225.0,19.0,0.0,0.0,1.71,0.14,0.0
